Country,value,metric,percent,desc,misc
Norway,52,weeks,"80, 100",o1,Social insurance
Pakistan,12,weeks,100,Employer
Panama,14,weeks,100,v,Social Security Fund
Papua New Guinea,6+,weeks,p1,…,q1,…
Paraguay,12,weeks,50,r1,Social security
Peru,90,days,100,Social security system
Philippines,6,weeks,s1,100,Social security or employer
Poland,16,weeks,100,Social Insurance Fund
Portugal,120-150,days,100-80,t1,Social insurance
Qatar,50,days,100,Employer
South Korea,90,days,100,u1,Employment Insurance Fund
Moldova,126,calendar days,100,Social security
Romania,126,calendar days,85,State Health Insurance Fund
Russia,140,calendar days,100,"m, a1",Social Insurance Fund
Rwanda,12,weeks,"100, 20",v1,Employer (if women not covered by social security)
Saint Kitts and Nevis,13,weeks,65,Social security
Saint Lucia,3,months,65,Social security
Saint Vincent and the Grenadines,13,weeks,65,Social security
San Marino,5,months,100,Social security
Sao Tome and Principe,60,days,100,Social security (Employer if women not covered by social security)
Saudi Arabia,10,weeks,"50, 100",w1,Employer
Senegal,14,weeks,100,Social security
Republic of Serbia,365,days,100,x1,Social security
Seychelles,14,weeks,…,y1,Social Security Fund
Singapore,16,weeks,100,z1,Employer and Government 
Slovakia,28,weeks,55,Social Insurance (part of sickness insurance)
Slovenia,105,calendar days,100,a2,Social security
Solomon Islands,12,weeks,25,Employer
Somaliland,14,weeks,50,Employer
South Africa,4,months,60,b2,Unemployment Insurance Fund
Spain,16,weeks,100,Social security
Sri Lanka,12,weeks,"86, 100",c2,Employer
South Sudan,8,weeks,100,Employer
Swaziland,12,weeks,…,d2,…
Sweden,480,days,e2,80,"m, f2",Social insurance 
Switzerland,14,weeks,g2,80,"m, h2",Social insurance
Syria,"120, 90, 75",days,i2,100,Employer
Tajikistan,140,calendar days,100,Social security
Macedonia,9,months,…,w,Health Insurance Fund
Thailand,90,days,100,j2,Employer and Social insurance system
Togo,14,weeks,100,"50% Employer, 50% Social security"
Trinidad and Tobago,13,weeks,"100, 50",k2,Employer and National Insurance Board 
Tunisia,"1, 2",month(s),l2,"67, 50, 100",m2,National Social Security Fund
Turkey,16,weeks,67,Social security
Turkmenistan,112,days,100,a1,Social security
Uganda,60,working days,100,Employer
Ukraine,126,days,100,Social security
United Arab Emirates,45,days,"100, 50",n2,Employer
United Kingdom,52,weeks ,o2,90,p2,Employer (92% refunded by public funds)
United Republic of Tanzania,12,weeks,100,Employer
United States of America,12,weeks,…,q2,…
Uruguay,12,weeks,100,r2,Social security system
Uzbekistan,126,calendar days,100,d,State social insurance scheme
Vanuatu,12,weeks,66,Employer
Venezuela,18,weeks,100,Social security
Vietnam,4-6,months,s2,100,Social insurance fund
Yemen,60,days,100,Employer
Zambia,12,weeks,100,Employer
Zimbabwe,98,days,100,Employer
