number;agent;group;volume;year;informations
62-44-2;Phenacetin;1;24, Sup 7, 100A;2012;NB: Overall evaluation upgraded to Group 1 with supporting evidence from other relevant data
62-50-0;Ethyl methanesulfonate;2B;7, Sup 7;1987;
62-53-3;Aniline;3;27, Sup 7;1987;
62-55-5;Thioacetamide;2B;7, Sup 7;1987;
62-56-6;Thiourea;3;Sup 7, 79;2001;
62-73-7;Dichlorvos;2B;Sup 7, 53;1991;
62-75-9;<i>N</i>-Nitrosodimethylamine;2A;17, Sup 7;1987;NB: Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data
63-25-2;Carbaryl;3;12, Sup 7;1987;
63-92-3;Phenoxybenzamine hydrochloride;2B;24, Sup 7;1987;
64-17-5;Ethanol in alcoholic beverages;1;96, 100E;2012;
64-67-5;Diethyl sulfate;2A;54, 71;1999;NB: Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data
66-27-3;Methyl methanesulfonate;2A;7, Sup 7,  71;1999;NB: Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data
66-75-1;Uracil mustard;2B;9, Sup 7;1987;
67-20-9;Nitrofurantoin;3;50;1990;
67-45-8;Furazolidone;3;31, Sup 7;1987;
67-63-0;Isopropyl alcohol;3;15, Sup 7, 71;1999;
67-66-3;Chloroform;2B;Sup 7, 73;1999;
67-72-1;Hexachloroethane;2B;73;1999;
68-12-2;Dimethylformamide;2A;47, 71, 115;In prep.;
68-76-8;Tris(aziridinyl)-<i>para</i>-benzoquinone (Triaziquone);3;9, Sup 7;1987;
69-53-4;Ampicillin;3;50;1990;
70-25-7;<i>N</i>-Methyl-<i>N</i>´-nitro-<i>N</i>-nitrosoguanidine (MNNG);2A;4, Sup 7;1987;NB: Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data
70-30-4;Hexachlorophene;3;20, Sup 7;1987;
71-43-2;Benzene;1;29, Sup 7. 100F;2012;
71-55-6;1,1,1-Trichloroethane;3;20, Sup 7, 71;1999;
71-58-9;Medroxyprogesterone acetate;2B;21, Sup 7;1987;
72-20-8;Endrin;3;5, Sup 7;1987;
72-43-5;Methoxychlor;3;20, Sup 7;1987;
72-57-1;Trypan blue;2B;8, Sup 7;1987;
74-83-9;Methyl bromide;3;41, Sup 7, 71;1999;
74-85-1;Ethylene;3;Sup 7, 60;1994;
74-87-3;Methyl chloride;3;41, Sup 7, 71;1999;
74-88-4;Methyl iodide;3;41, Sup 7, 71;1999;
74-96-4;Bromoethane;3;52, 71;1999;
75-00-3;Chloroethane;3;52, 71;1999;
75-01-4;Vinyl chloride;1;Sup 7, 97, 100F;2012;
75-02-5;Vinyl fluoride;2A;Sup 7, 63, 97;2008;"NB: (1) Overall evaluation upgraded to Group 2A based on mechanistic and other relevant data;
(2) For practical purposes, vinyl fluoride should be considered to act similarly to the human carcinogen vinyl chloride"
75-07-0;Acetaldehyde;2B;36, Sup 7, 71;1999;
75-07-0;Acetaldehyde associated with consumption of alcoholic beverages;1;100E;2012;
75-09-2;Dichloromethane (Methylene chloride);2A;Sup 7, 71, 110;2016 online;
75-21-8;Ethylene oxide;1;Sup 7, 60, 97, 100F;2012;NB: Overall evaluation upgraded to Group 1 based on mechanistic and other relevant data
75-25-2;Bromoform;3;52, 71;1999;
75-27-4;Bromodichloromethane;2B;52, 71;1999;
75-35-4;Vinylidene chloride;3;39, Sup 7, 71;1999;
75-38-7;Vinylidene fluoride;3;39, Sup 7, 71;1999;
75-45-6;Chlorodifluoromethane;3;41, Sup 7, 71;1999;
75-52-5;Nitromethane;2B;77;2000;
75-55-8;2-Methylaziridine (Propyleneimine);2B;9, Sup 7, 71;1999;
75-56-9;Propylene oxide;2B;Sup 7, 60;1994;
75-60-5;Dimethylarsinic acid;2B;100C;2012;
75-87-6;Chloral;2A;63, 84, 106;2014;
75-88-7;2-Chloro-1,1,1-trifluoroethane;3;41, Sup 7, 71;1999;
76-01-7;Pentachloroethane;3;41, Sup 7, 71;1999;
76-03-9;Trichloroacetic acid;2B;63, 84, 106;2014;
76-44-8;Heptachlor;2B;Sup 7, 53, 79;2001;
77-09-8;Phenolphthalein;2B;76;2000;
77-78-1;Dimethyl sulfate;2A;4, Sup 7, 71;1999;NB: Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data
78-79-5;Isoprene;2B;60, 71;1999;
78-87-5;1,2-Dichloropropane;1;41, Sup 7, 71, 110;2016 online;
78-98-8;Methylglyoxal;3;51;1991;
79-00-5;1,1,2-Trichloroethane;3;52, 71;1999;
79-01-6;Trichloroethylene;1;Sup 7, 63, 106;2014;
79-06-1;Acrylamide;2A;60, Sup 7;1994;NB: Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data
79-10-7;Acrylic acid;3;19, Sup 7, 71;1999;
79-34-5;1,1,2,2-Tetrachloroethane;2B;20, Sup 7, 71, 106;2014;
79-43-6;Dichloroacetic acid;2B;63, 84, 106;2014;
79-44-7;Dimethylcarbamoyl chloride;2A;12, Sup 7, 71;1999;NB: Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data
79-46-9;2-Nitropropane;2B;29, Sup 7, 71;1999;
79-94-7;Tetrabromobisphenol A;2A;115;In prep.;
80-08-0;Dapsone;3;24, Sup 7;1987;
80-62-6;Methyl methacrylate;3;Sup 7, 60;1994;
81-07-2;Saccharin and its salts;3;Sup 7, 73;1999;NB: Overall evaluation downgraded to Group 3 with supporting evidence from other relevant data
81-15-2;Musk xylene;3;65;1996;
81-49-2;1-Amino-2,4-dibromoanthraquinone;2B;101;2013;
81-88-9;Rhodamine B;3;16, Sup 7;1987;
82-28-0;1-Amino-2-methylanthraquinone;3;27, Sup 7;1987;
82-68-8;Quintozene (Pentachloronitrobenzene);3;5, Sup 7;1987;
83-32-9;Acenaphthene;3;92;2010;
83-63-6;Diacetylaminoazotoluene;3;8, Sup 7;1987;
83-66-9;Musk ambrette;3;65;1996;
83-67-0;Theobromine;3;51;1991;
84-65-1;Anthraquinone;2B;101;2013;
85-01-8;Phenanthrene;3;Sup 7, 92;2010;
85-68-7;Butyl benzyl phthalate;3;Sup 7, 73;1999;
85-83-6;Scarlet Red;3;8, Sup 7;1987;
85-84-7;Yellow AB;3;8, Sup 7;1987;
85-86-9;Sudan III;3;8, Sup 7;1987;
86-30-6;<i>N</i>-Nitrosodiphenylamine;3;27, Sup 7;1987;
86-54-4;Hydralazine;3;24, Sup 7;1987;
86-57-7;1-Nitronaphthalene;3;46;1989;
86-73-7;Fluorene;3;Sup 7, 92;2010;
86-74-8;Carbazole;2B;32, Sup 7, 71, 103;2013;
86-88-4;1-Naphthylthiourea (ANTU);3;30, Sup 7;1987;
87-29-6;Cinnamyl anthranilate;3;Sup 7, 77;2000;
87-62-7;2,6-Dimethylaniline (2,6-Xylidine);2B;57;1993;
87-68-3;Hexachlorobutadiene;3;73;1999;
87-86-5;Pentachlorophenol (see also Polychlorophenols);1;53, 71, 117;In prep.;
88-05-1;2,4,6-Trimethylaniline;3;27, Sup 7;1987;
88-06-2;2,4,6-Trichlorophenol (see also Polychlorophenols);2B;117;In prep.;
88-12-0;<i>N</i>-Vinyl-2-pyrrolidone;3;19, Sup 7, 71;1999;
88-72-2;2-Nitrotoluene;2A;101;2013;NB: Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data
"88-73-3<br/>
121-73-3<br/>
100-00-5";Chloronitrobenzenes;3;65;1996;
89-82-7;Pulegone;2B;108;2016;
90-04-0;<i>ortho</i>-Anisidine;2B;Sup 7, 73;1999;
90-43-7;<i>ortho</i>-Phenylphenol;3;73;1999;
90-65-3;Penicillic acid;3;10, Sup 7;1987;
90-94-8;Michler’s ketone [4,4´-Bis(dimethylamino)­benzophenone];2B;99;2010;
91-20-3;Naphthalene;2B;82;2002;
91-23-6;2-Nitroanisole;2B;65;1996;
91-59-8;2-Naphthylamine;1;4, Sup 7, 99, 100F;2012;
91-64-5;Coumarin;3;Sup 7, 77;2000;
91-93-0;3,3'-Dimethoxybenzidine-4,4'-diisocyanate;3;39, Sup 7;1987;
91-94-1;3,3'-Dichlorobenzidine;2B;29, Sup 7;1987;
92-67-1;4-Aminobiphenyl;1;1, Sup 7, 99, 100F;2012;
92-87-5;Benzidine;1;29, Sup 7, 99, 100F;2012;
92-93-3;4-Nitrobiphenyl;3;4, Sup 7;1987;
93-15-2;Methyleugenol;2B;101;2013;
94-36-0;Benzoyl peroxide;3;36, Sup 7, 71;1999;
94-58-6;Dihydrosafrole;2B;10, Sup 7;1987;
94-59-7;Safrole;2B;10, Sup 7;1987;
94-75-7;2,4-D (2,4-dichlorophenoxyacetic acid) (See also Chlorophenoxy herbicides);2B;113;In prep.;
95-06-7;Sulfallate;2B;30, Sup 7;1987;
95-50-1;<i>ortho</i>-Dichlorobenzene;3;Sup 7, 73;1999;
95-53-4;<i>orth</i>o-Toluidine;1;Sup 7, 77, 99, 100F;2012;
95-68-1;2,4-Xylidine;3;16, Sup 7;1987;
95-69-2;4-Chloro-<i>ortho</i>-toluidine;2A;77, 99;2010;
95-70-5;2,5-Diaminotoluene;3;16, Sup 7;1987;
95-78-3;2,5-Xylidine;3;16, Sup 7;1987;
95-79-4;5-Chloro-<i>ortho</i>-toluidine;3;77, 99;2010;
95-80-7;2,4-Diaminotoluene;2B;16, Sup 7;1987;
95-83-0;4-Chloro-<i>ortho</i>-phenylenediamine;2B;27, Sup 7;1987;
96-09-3;Styrene-7,8-oxide;2A;Sup 7, 60;1994;NB: Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data
96-12-8;1,2-Dibromo-3-chloropropane;2B;20, Sup 7, 71;1999;
96-13-9;2,3-Dibromopropan-1-ol;2B;77;2000;
96-18-4;1,2,3-Trichloropropane;2A;63;1995;
96-23-1;1,3-Dichloro-2-propanol;2B;101;2013;
96-24-2;3-Monochloro-1,2-propanediol;2B;101;2013;
96-33-3;Methyl acrylate;3;39, Sup 7, 71;1999;
96-45-7;Ethylenethiourea;3;Sup 7, 79;2001;NB: Overall evaluation downgraded to Group 3 with supporting evidence from other relevant data
96-48-0;gamma-Butyrolactone;3;11, Sup 7, 71;1999;
97-53-0;Eugenol;3;36, Sup 7;1987;
97-56-3;<i>ortho</i>-Aminoazotoluene;2B;8, Sup 7;1987;
97-77-8;Disulfiram;3;12, Sup 7;1987;
98-01-1;Furfural;3;63;1995;
98-82-8;Cumene;2B;101;2013;
98-83-9;a-Methylstyrene;2B;101;2013;
"98-87-3<br/>
98-07-7<br/>
100-44-7<br/>
98-88-4";alpha-Chlorinated toluenes (benzal chloride, benzotrichloride, benzyl chloride) and benzoyl chloride (combined exposures);2A;29, Sup 7, 71;1999;
98-95-3;Nitrobenzene;2B;65;1996;
"99-08-1<br/>
99-99-0";Nitrotoluenes;3;65;1996;
99-55-8;5-Nitro-<i>ortho</i>-toluidine;3;48;1990;
99-56-9;1,2-Diamino-4-nitrobenzene;3;16, Sup 7;1987;
99-57-0;2-Amino-4-nitrophenol;3;57;1993;
99-59-2;5-Nitro-<i>ortho</i>-anisidine;3;27, Sup 7;1987;
99-80-9;<i>N</i>-Methyl-<i>N</i>,4-dinitrosoaniline;3;1, Sup 7;1987;
99-97-8;Dimethyl-p-toluidine;2B;115;In prep.;
100-40-3;4-Vinylcyclohexene;2B;Sup 7, 60;1994;
100-41-4;Ethylbenzene;2B;77;2000;
100-42-5;Styrene;2B;60, 82;2002;
100-75-4;<i>N</i>-Nitrosopiperidine;2B;17, Sup 7;1987;
101-14-4;4,4'-Methylenebis(2-chloroaniline) (MOCA);1;Sup 7, 57, 99, 100F;2012;NB: Overall evaluation upgraded to Group 1 based on mechanistic and other relevant data
101-21-3;Chloropropham;3;12, Sup 7;1987;
101-25-7;Dinitrosopentamethylenetetramine;3;11, Sup 7;1987;
101-61-1;Michler’s base [4,4´-methylenebis(<i>N</i>,<i>N</i>-dimethyl)­benzenamine];2B;27, Sup 7, 99;2010;
101-68-8;4,4'-Methylenediphenyl diisocyanate;3;19, Sup 7, 71;1999;
101-77-9;4,4'-Methylenedianiline;2B;39, Sup 7;1987;
101-80-4;4,4'-Diaminodiphenyl ether;2B;29, Sup 7;1987;
101-90-6;Diglycidyl resorcinol ether;2B;36, Sup 7, 71;1999;
102-50-1;<i>meta</i>-Cresidine;3;27, Sup 7;1987;
102-71-6;Triethanolamine;3;77;2000;
103-03-7;Phenicarbazide;3;12, Sup 7;1987;
103-11-7;2-Ethylhexyl acrylate;3;60;1994;
103-23-1;Di(2-ethylhexyl) adipate;3;Sup 7, 77;2000;
103-33-3;Azobenzene;3;8, Sup 7;1987;
103-90-2;Acetaminophen (see Paracetamol);;;;
103-90-2;Paracetamol (Acetaminophen);3;50, 73;1999;
104-94-9;<i>para</i>-Anisidine;3;27, Sup 7;1987;
105-11-3;<i>para</i>-Benzoquinone dioxime;3;29, Sup 7, 71;1999;
105-55-5;<i>N</i>,<i>N</i>'-Diethylthiourea;3;79;2001;
105-60-2;Caprolactam;4;39, Sup 7, 71;1999;
105-74-8;Lauroyl peroxide;3;36, Sup 7, 71;1999;
106-46-7;<i>para</i>-Dichlorobenzene;2B;Sup 7, 73;1999;
106-47-8;<i>para</i>-Chloroaniline;2B;57;1993;
106-50-3;<i>para</i>-Phenylenediamine;3;16, Sup 7;1987;
106-51-4;<i>para</i>-Quinone;3;15, Sup 7, 71;1999;
106-87-6;4-Vinylcyclohexene diepoxide;2B;Sup 7, 60;1994;
106-88-7;1,2-Epoxybutane;2B;47, 71;1999;NB: Overall evaluation upgraded to Group 2B with supporting evidence from other relevant data
106-89-8;Epichlorohydrin;2A;11, Sup 7, 71;1999;NB: Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data
106-93-4;Ethylene dibromide;2A;15, Sup 7, 71;1999;NB: Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data
106-94-5;1-Bromopropane;2B;115;In prep.;
106-99-0;1,3-Butadiene;1;Sup 7, 54, 71, 97, 100F;2012;
107-02-8;Acrolein;3;63, Sup 7;1995;
107-05-1;Allyl chloride;3;36, Sup 7, 71;1999;
107-06-2;1,2-Dichloroethane;2B;20, Sup 7, 71;1999;
107-13-1;Acrylonitrile;2B;71;1999;
107-14-2;Chloroacetonitrile;3;52, 71;1999;
107-30-2;"Chloromethyl methyl ether (see Bis(chloromethyl)ether; chloromethyl methyl ether)";;;;
108-05-4;Vinyl acetate;2B;Sup 7, 63;1995;
108-10-1;Methyl isobutyl ketone;2B;101;2013;
108-30-5;Succinic anhydride;3;15, Sup 7;1987;
108-45-2;<i>meta</i>-Phenylenediamine;3;16, Sup 7;1987;
108-46-3;Resorcinol;3;15, Sup 7, 71;1999;
108-60-1;Bis(2-chloro-1-methylethyl)ether;3;41, Sup 7, 71;1999;
108-78-1;Melamine;3;Sup 7, 73;1999;NB: Overall evaluation downgraded to Group 3 with supporting evidence from other relevant data
108-88-3;Toluene;3;47, 71;1999;
108-94-1;Cyclohexanone;3;47, 71;1999;
108-95-2;Phenol;3;47, 71;1999;
110-00-9;Furan;2B;63;1995;
110-57-6;<i>trans</i>-1,4-Dichlorobutene;3;15, Sup 7, 71;1999;
110-86-1;Pyridine;3;77;2000;
110-91-8;Morpholine;3;47, 71;1999;
111-42-2;Diethanolamine;2B;77, 101;2013;
111-44-4;Bis(2-chloroethyl)ether;3;9, Sup 7, 71;1999;
111-76-2;2-Butoxyethanol;3;88;2006;
115-02-6;Azaserine;2B;10, Sup 7;1987;
115-07-1;Propylene;3;Sup 7, 60;1994;
115-28-6;Chlorendic acid;2B;48;1990;
115-32-2;Dicofol;3;30, Sup 7;1987;
115-96-8;Tris(2-chloroethyl) phosphate;3;48, 71;1999;
116-06-3;Aldicarb;3;53;1991;
116-14-3;Tetrafluoroethylene;2A;19, Sup 7, 71, 110;2016 online;NB: Overall evaluation upgraded to Group 2A on the basis of sufficient evidence in experimental animals with a striking and atypical pattern of tumours
117-10-2;"Dantron (Chrysazin; 1,8-Dihydroxyanthraquinone)";2B;50;1990;
117-39-5;Quercetin;3;Sup 7, 73;1999;
117-79-3;2-Aminoanthraquinone;3;27, Sup 7;1987;
117-81-7;Bis(2-ethylhexyl) phthalate (see Di(2-ethylhexyl) phthalate);;;;
117-81-7;Di(2-ethylhexyl)phthalate;2B;Sup 7, 77, 101;2013;
118-74-1;Hexachlorobenzene;2B;Sup 7, 79;2001;
118-92-3;Anthranilic acid;3;16, Sup 7;1987;
118-96-7;2,4,6-Trinitrotoluene;3;65;1996;
119-34-6;4-Amino-2-nitrophenol;3;16, Sup 7;1987;
119-61-9;Benzophenone;2B;101;2013;
119-90-4;3,3'-Dimethoxybenzidine (<i>ortho</i>-Dianisidine);2B;4, Sup 7;1987;
119-93-7;3,3'-Dimethylbenzidine (<i>ortho</i>-Tolidine);2B;1, Sup 7;1987;
120-12-7;Anthracene;3;92, Sup 7;2010;
120-58-1;Isosafrole;3;10, Sup 7;1987;
120-71-8;<i>para</i>-Cresidine;2B;27, Sup 7;1987;
120-80-9;Catechol;2B;15, Sup 7, 71;1999;
121-14-2;2,4-Dinitrotoluene;2B;65;1996;
121-66-4;2-Amino-5-nitrothiazole;3;31, Sup 7;1987;
121-69-7;<i>N</i>,<i>N</i>-Dimethylaniline;3;57;1993;
121-75-5;Malathion;2A;30, Sup 7, 112;2015 online;
121-88-0;2-Amino-5-nitrophenol;3;57;1993;
122-34-9;Simazine;3;53, 73;1999;
122-42-9;Propham;3;12, Sup 7;1987;
122-60-1;Phenyl glycidyl ether;2B;47, 71;1999;
123-31-9;Hydroquinone;3;15, Sup 7, 71;1999;
123-33-1;Maleic hydrazide;3;4, Sup 7;1987;
123-91-1;1,4-Dioxane;2B;11, Sup 7, 71;1999;
124-48-1;Chlorodibromomethane;3;52, 71;1999;
124-58-3;Methylarsonic acid;2B;100C;2012;
124-58-3;Monomethylarsonic acid (see Methylarsonic acid);2B;100C;2012;
125-33-7;Primidone;2B;108;2016;
126-07-8;Griseofulvin;2B;Sup 7, 79;2001;
126-72-7;Tris(2,3-dibromopropyl) phosphate;2A;20, Sup 7, 71;1999;NB: Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data
126-85-2;Nitrogen mustard <i>N</i>-oxide;2B;9, Sup 7;1987;
126-99-8;Chloroprene;2B;Sup 7, 71;1999;
127-07-1;Hydroxyurea;3;76;2000;
127-18-4;Tetrachloroethylene (Perchloroethylene);2A;Sup 7, 63, 106;2014;
127-69-5;Sulfafurazole (Sulfisoxazole);3;24, Sup 7;1987;
128-37-0;Butylated hydroxytoluene (BHT);3;40, Sup 7;1987;
128-66-5;Vat Yellow 4;3;48;1990;
129-00-0;Pyrene;3;Sup 7, 92;2010;
129-15-7;2-Methyl-1-nitroanthraquinone (uncertain purity);2B;27, Sup 7;1987;
129-17-9;Blue VRS;3;16, Sup 7;1987;
129-20-4;Oxyphenbutazone;3;13, Sup 7;1987;
129-43-1;1-Hydroxyanthraquinone;2B;82;2002;
131-79-3;Yellow OB;3;8, Sup 7;1987;
132-27-4;Sodium <i>ortho</i>-phenylphenate;2B;Sup 7, 73;1999;
132-65-0;Dibenzothiophene;3;103;2013;
133-06-2;Captan;3;30, Sup 7;1987;
134-32-7;1-Naphthylamine;3;4, Sup 7;1987;
135-88-6;<i>N</i>-Phenyl-2-naphthylamine;3;16, Sup 7;1987;
136-40-3;Phenazopyridine hydrochloride;2B;24, Sup 7;1987;
137-17-7;2,4,5-Trimethylaniline;3;27, Sup 7;1987;
137-26-8;Thiram;3;Sup 7, 53;1991;
137-30-4;Ziram;3;Sup 7, 53;1991;
138-59-0;Shikimic acid;3;40, Sup 7;1987;
139-05-9;Cyclamates (sodium cyclamate);3;Sup 7, 73;1999;
139-13-9;Nitrilotriacetic acid and its salts;2B;48, 73;1999;NB: Evaluated as a group
139-65-1;4,4'-Thiodianiline;2B;27, Sup 7;1987;
139-94-6;Nithiazide;3;31, Sup 7;1987;
140-11-4;Benzyl acetate;3;40, Sup 7, 71;1999;
140-56-7;<i>para</i>-Dimethylaminoazobenzenediazo sodium sulfonate;3;8, Sup 7;1987;
140-57-8;Aramite®;2B;5, Sup 7;1987;
140-88-5;Ethyl acrylate;2B;39, Sup 7, 71;1999;
141-32-2;<i>n</i>-Butyl acrylate;3;39, Sup 7, 71;1999;
141-37-7;3,4-Epoxy-6-methylcyclohexylmethyl-3,4-epoxy-6-methylcyclo-hexanecarboxylate;3;11, Sup 7, 71;1999;
141-90-2;Thiouracil;2B;Sup 7, 79;2001;
142-83-6;2,4-Hexadienal;2B;101;2013;
143-50-0;Chlordecone (Kepone);2B;20, Sup 7;1987;
143-67-9;Vinblastine sulfate;3;26, Sup 7;1987;
144-34-3;Methyl selenac;3;12, Sup 7;1987;
148-18-5;Sodium diethyldithiocarbamate;3;12, Sup 7;1987;
148-24-3;8-Hydroxyquinoline;3;13, Sup 7;1987;
148-82-3;Melphalan;1;9, Sup 7, 100A;2012;
149-29-1;Patulin;3;40, Sup 7;1987;
149-30-4;2-Mercaptobenzothiazole;2A;115;In prep.;
150-13-0;<i>para</i>-Aminobenzoic acid;3;16, Sup 7;1987;
150-68-5;Monuron;3;Sup 7, 53;1991;
150-69-6;Dulcin;3;12, Sup 7;1987;
151-56-4;Aziridine;2B;9, Sup 7, 71;1999;NB: Overall evaluation upgraded to Group 2B with supporting evidence from other relevant data
154-93-8;Bischloroethyl nitrosourea (BCNU);2A;26, Sup 7;1987;
156-10-5;<i>para</i>-Nitrosodiphenylamine;3;27, Sup 7;1987;
156-51-4;Phenelzine sulfate;3;24, Sup 7;1987;
189-55-9;Dibenzo[<i>a</i>,<i>i</i>]pyrene;2B;92;2010;
189-64-0;Dibenzo[<i>a</i>,<i>h</i>]pyrene;2B;Sup 7, 92;2010;
191-07-1;Coronene;3;32, Sup 7, 92;1987;
191-24-2;Benzo[<i>ghi</i>]perylene;3;92, Sup 7;2010;
191-26-4;Anthanthrene;3;92, Sup 7;2010;
191-30-0;Dibenzo[<i>a</i>,<i>l</i>]pyrene;2A;Sup 7, 92;2010;NB: Overall evaluation upgraded to Group 2A with supporting evidence from other relevant data
192-47-2;Dibenzo[<i>h</i>,<i>rst</i>]pentaphene;3;Sup 7, 92;2010;
192-51-8;Dibenzo[<i>e</i>,<i>l</i>]pyrene;3;92;2010;
192-65-4;Dibenzo[<i>a</i>,<i>e</i>]pyrene;3;Sup 7, 92;2010;
192-97-2;Benzo[<i>e</i>]pyrene;3;92, Sup 7;2010;
193-09-9;Naphtho[2,3-<i>e</i>]pyrene;3;92;2010;
193-39-5;Indeno[1,2,3-<i>cd</i>]pyrene;2B;Sup 7, 92;2010;
194-59-2;7H-Dibenzo[<i>c</i>,<i>g</i>]carbazole;2B;32, Sup 7, 103;2013;
195-19-7;Benzo[<i>c</i>]phenanthrene;2B;92, Sup 7;2010;NB: Overall evaluation upgraded to Group 2B with supporting evidence from other relevant data
196-78-1;Benzo[<i>g</i>]chrysene;3;92;2010;
198-55-0;Perylene;3;Sup 7, 92;2010;
202-33-5;Benz[<i>j</i>]aceanthrylene;2B;92;2010;NB: Overall evaluation upgraded to Group 2B with supporting mechanistic and other relevant data
202-94-8;11H-Benz[<i>bc</i>]aceanthrylene;3;92;2010;
202-98-2;4H-Cyclopenta[<i>def</i>]chrysene;3;92;2010;
